content,score,label
"aplikasi jelek, sering lag parahh materinya bagus cmn ya gitu kuis interaktif sulit diakses gr2 apknya jd putih",1,Negatif
"Bagus aplikasi, rekonstruksi lengkap semua untuk belajar dari SD - Perguruan Tinggi. Semangat semua kakak - kakaknya, izin pakai juga ambil video untuk tugas ya🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻👍🏻",5,Positif
tolong tambahin materi belajar untuk um ugm,1,Negatif
lumayan bisa belajar dengan baik,5,Positif
bagus bngtt,5,Positif
sangat bagus dan cocok untuk sy belajar lebih dalam lagi 💐💐💐💐💐💐,5,Positif
"LOV BANGET DEH SAMAAAA RG, LINGKUNGANNYA ENAK BANGET BUAT BELAJAR 🩷💘❤️♥️",5,Positif
"video pembelajaran ruang guru membantu dalam memahami materi , ada drill , kuis, dan rangkuman materi.",4,Positif
ngebantu banget,4,Positif
saya merasa terbantu dengan adanya ruang guru,5,Positif
"aplikasi ini best banget, aku suka banget karna belajar nya pake video 😍 , cuma ada beberapa pelajaran yang gak ada di aplikasi ini 😔 kayak ppkn, dll, tapi lumayan bagus buat belajar👍 pokoknya the beast banget ☺👏👍💖 yang kesulitan belajar wajib download ini ❤ aku suka sama cara belajar nya, ada kuis jadi lengkap banget ☺ makasih ya, belajar jadi lebih menyenangkan ❤😊 tapi sayang banget 😔 harus langganan buat nonton video lengkap nya jadi cuma bisa nonton yang gratis 🥲 karna gak dapet iji",5,Positif
"Ruangguru knpsih kuisnya di ruangbelajar selalu ngeglitch? jd susah mw ngejawab soal, krn pada ngelag glitch gt. Abis itu jg kl misal kita ada misi ngerjain satu kuis buat buka peti dr pet kita, abis aku kerjain malah ga nambah progressnya, harus nyelesain banyak kuis dl br bisa unlock isi petinya. Trs kadang jg tiap aku ikut sesi BAO gabisa kepencet pollingnya padahal udah aku klik, jd kadang aku ga dapet panen bintang padahal jawabanky bener. Tolong diperbaiki ya ruangguru 🙏🙏🙏",2,Negatif
"just one sentence ""Ruangguru is the best application for everyone""",5,Positif
selalu nemenin untuk utbk !,5,Positif
keren,5,Positif
aplikasinya sangat membantu sekali,5,Positif
bagus & bikin anak mudah belajar👍,5,Positif
ruang guru sangat bagus untuk belajar saya menggunakan aplikasi ini prestasi saya menjadi semakin meningkat,5,Positif
lumayan bagus pet ny juga lucu,5,Positif
Semoga bisa membantu Pemahaman Saya utk belajar. Terimakasih,5,Positif
terimakasih ruang guru saya bisa memahami pelajaran yang saat tidak mengerti di sekolah walaupun saya saya tidak punya uang untuk les tambahan tapi ada masa percobaan gratis☺️🙏,5,Positif
"buat yang bagian utbk-mandiri, tambahin UM UGM dong🥹🥹 jangan SIMAK doang🙏🏻🙏🏻😞😞 butuh bangett bingung mau belajar darimana",5,Positif
lancar dan ok,5,Positif
"recommended banget! aplikasinya ada games seru plus kuis belajar lengkap, kalau ada jawaban yang salah dikasih penjelasan, cocok banget buat yang tka (:",5,Positif
aplikasi ini sangat membantu untuk belajar,5,Positif
baik,5,Positif
menarik banget,5,Positif
"ok bug nya sudah teratasi, jadi terimakasih. tapi masalah nya muncul lagi, yaitu apk nya sering keluar sendiri, padahal hp ku ini ram nya udah lebih dari cukup dan prosesor nya juga dah masuk di kelas menengah kok 😐",3,Netral
"aplikasinya bagus, tp sering eror. tolong diperbaiki. mau ngerjain quiz sama post test gitu gitu gbs eror loading trs",3,Netral
aplikasi banyak bug,1,Negatif
sangat membantu dalam belajar saya,5,Positif
"aplikasinya bagus, tapi, tidak tersedia aplikasi bagi pengguna windows.",5,Positif
"Saat pakai fitur drill, soal yang berbentuk tabel sering tidak muncul atau sering terpotong dan tidak lengkap di tampilan hp, mungkin kalau di tampilan laptop terlihat, tapi di hp tidak terlihat tabel soalnya, jadi tidak bisa mengerjakan. Minta tolong ya",5,Positif
"Makin sering ngelag dan bug, padahal jaringan aman, perangkat aman, cache udh diclear, tetep aja keluar sendiri",2,Negatif
sangat bagus untuk pembelajaran,5,Positif
"ini app seruuu bgt ,guru""ya juga asik""🤍",5,Positif
terimakasih 🤞,5,Positif
CS nya bagus hehe🤭🤭💋💋,5,Positif
lebih efektif untuk belajar,5,Positif
alhamdulillah akhirnya bisa belajr dirumah,5,Positif
bagus banget cocok untuk belajar menambah ilmu,5,Positif
aku perpanjang sampe 2× sangking sukanya🥹👏🏻,5,Positif
aplikasi yang sangat membantu buat belajar sendiri,5,Positif
"suka banget sama materi nya yang seru dan asik, tapi ko akhir"" ini aku pake ga bisa ngerjain soal ya ga muncul soal dan jawaban nya tapi kalo liat video pembahasan bisa itu kenapa ya",4,Positif
jujur ya masa harus berbayar,1,Negatif
"KLO buat belajar bintang lima, TPI servernya lemot bgt mau drill soal nunggu loading bisa 2menit woilah.mana KLO buat quiz kdng GK nyambung Ama materi kdng 1-2 materi Bru relevan Ama quiz di video sblmnya🥲",1,Negatif
yaallah kasih Terima ka unhas dengan bantuan ruang guru ini,5,Positif
kerenn,5,Positif
sukaa rate 100/100000000,5,Positif
"bagus banget nilai ku naik sama kalo belajar jadi seru karna ruang guru, terimakasih ruang guru 🥰🥰",5,Positif
Bagus tapi kadang error,5,Positif
Saya kenapa ga bisa ganti/tambah jurusan di SNBT Center yaah?,3,Netral
baguss,5,Positif
aplikasi keren di sini kita bisa belajar dan bermain,5,Positif
"sinyal lancar, dipake scroll aman, maen game jga aman. pas dipake drill soal malah muter2 terus, 1 jam gw abis gara2 masalah ginian🙄",1,Negatif
ini bisa membantu aku belajar dengan konsisten ✨✨,5,Positif
kurang,3,Netral
bagus banget apk nya sangan membantu dan bermanfaat,5,Positif
"semuanya bagus, kecuali sistemnya, suka error:)",3,Netral
karna harus berlangganan,1,Negatif
"bagus bangettt, tapi kadang aku udah nonton berkali kali tetep gak paham, mungkin metode yang itu kurang sreg tapi good job pokok nya",5,Positif
"seru banget belajar nya, gampang paham",5,Positif
aplikasi ini cucok utk anak2 serwuuu bgt,5,Positif
"aku suka banget suamanya ada, dan lengkap di sini",5,Positif
"ak udh bolak balik beli tryout pake bintangku, dan ak juga udh langganan ke rg. tpi skrng mau nyoba try out tu harus milih jurusan dlu dan pas milih malah gaada tanda centang lagi haha, kenapa si apk nya tuh. ngeselin😌 udh premium padahal ak, jgn ngecewain dong",1,Negatif
enak banget belajar di ruang guru,5,Positif
Mohon optimasi tampilan landscape untuk tablet Android karena belum full layar.,3,Netral
"bener bener ga worth it sih,apk nya ngelag bgt disuruh quiz malah keluar masuk,terus aku juga beli paket rg yg untuk offline gurunya ya...😌😌",1,Negatif
memuaskan,5,Positif
karena mengasah otak dan pikiran,5,Positif
aku jadi banyak menigkat saat belajar di ruang guru. dari rangking 18 jadinya rangking 5.,5,Positif
aplikasi ini membuat saya lebih pintar,5,Positif
seru bgt,5,Positif
Sangat membantu 🙇🏻‍♀️,5,Positif
aplikasi Ter bagus untuk belajar,5,Positif
pelajaran matematika bimbing kita iya gys,5,Positif
bagus untuk belajar tka,5,Positif
ini sangat kerenn,5,Positif
ya bagus tapi plis pas poling jika salpen harusnya ada tombol apakah jawaban anda tepat gitu bukan poling langsung salpen,3,Netral
ruang guru sangat lah keren,4,Positif
aplikasinya gabisa dibuka.,1,Negatif
"aku suka banget sama apk bimbel ini, pembelajarannya mudah dimengerti+ada quiz dan rangkuman juga, seneng deh berlangganan ruang belajar, tpi tolong ya diperbaiki di bug gambar yg sering ga muncul, cuma kek putih2 gitu, terimakasih ❤️",5,Positif
Membantu Dan keren,5,Positif
aplikasi ini sangat berguna menurut saya karena kita bisa belajar materi yang kita inginkan.,5,Positif
"ini knp sih, di aplikasi tiap mau drill soal pasti ada pembaharuan, sehari bisa 4 kali. trs kadang agak error waktu mau scroll soal kebawah. mana klo udh g langganan di chat pihak rg terus. pdhl udh ngasih nmr dan email yg nggk mau dihubungi lg tp ttp dihubungi.",4,Positif
aplikasi ini sangat membantu,5,Positif
"kak ini gmna ya kan aku persiapan UTBK, tapi kok gda tryout nya? udh beli paket tryout yg 10 kuota, tpi bnrn gda pilihan tryout nya, jngn bikin bingung pls:( ini urgent",3,Netral
saya menggunakan ruang guru menjadi lebih mudah dalam belajar 😻😻,5,Positif
Aplikasi ini sangat membantu saya untuk mempelajari pelajaran yg saya sudah lupa. Serta untuk menambah ilmu baru buat kedepannya.,5,Positif
lumayan,4,Positif
kualitas gambar bagus,5,Positif
"overall aplikasi yang bagus hanya saja belum full bintang 5 karna jawaban2 yang menggunakan gambar selalu tidak muncul, mengakibatkan saya untuk menebak nebak yang mana jawaban yang benar, dan sudah dicoba beberapa upaya seperti hapus chace, hapus app dan login kembali dll, mohon diperbaiki minn",4,Positif
Sangat membantu dalam proses pembelajaran di rumah,5,Positif
banyakin materi sama latsol,5,Positif
"Suka bgt, belajar jadi seru 👍👍",5,Positif
bagus aku padahal gak pinter amat tapi semenjak pakai ruangguru nilaiku naik aku masuk SMP impian ku good job ruang guru🌟😻,5,Positif
ya sangat bagus,5,Positif
Bagus nilai saya jadi nambah dan jadi juara satu di kelas,5,Positif
aku coba dulu ya soal aku ragu aku ngak bisa bahasa Inggris🇬🇧,5,Positif
gila banget bagus banget ini luar biasa bagus,5,Positif
"aplikasi nya memang bagus, pembelajaran mudah di pahami dan di mengerti, tapi banyak yang harus langanan, udah mah langanan nya mahal lagi..😭",4,Positif
Sangat bagus buat saya makasih ya udah bantuin saya belajar,5,Positif
Kenapa sekarang suka bgt gabisa di pencet menu nya alias ERROR! Jadi ngerasa kesel udah bayar mahal tapi fitur bobrok. Kadang kalo chat di whatsapp juga slow respon. Tolong diperbaiki.,3,Netral
mantp,5,Positif
saya bisa memahami dan saya senang belajar di ruang guru pengetahuan semakin tinghhi.,5,Positif
seru banget jadi semangat belajar dan materinya mudah dipahami,5,Positif
"beli paket 1tahun ga kepakek, gaenak sistem belajar nya menurut saya",2,Negatif
"Bagus aplikasi nya, saya berharap akan ada paket untuk mendapatkan rangkuman materi secara singkat dan beberapa soal dengan harga yang bersahabat dengan pelajar.",5,Positif
I LOVEEE,5,Positif
bagus aplikasinya tidak cacat,5,Positif
aplikasinya sangat berguna,5,Positif
Alhamdulillah,5,Positif
berapa langganan di sini,4,Positif
bagus banget,5,Positif
ruang guru sangat baik penunjang belajar anak saya tapi untuk THN ini lupa belum saya perpanjang langganan jadiny buka soal TKa susah,5,Positif
bagusa membantu buat belajar,5,Positif
bagus bangettt,5,Positif
"stop update apk. Update hampir bbrpa kali seminggu sistem nya sama aja, masi suka lag, kadang bug sendiri kalo apk terlalu lama di buka. Tolong kalau mau update jgn yg terlalu sering, krna mengganggu penggunaan aplikasi, sebab kalo dia mau update gbsa di skip, dan jadi harus buka ulang aplikasi, di tambah lagi kalo buka aplikasinya di android harus ngulang sampai bbrpa kali baru aplikasi bisa terbuka. tolong para IT ruangguru, perbaiki sistem nyaa!",3,Netral
saya bisa belajar dengan baikk,5,Positif
berguna banget untuk belajar bagus banget,5,Positif
Ruang guru sangat cocok untuk di pakai belajar≧⁠▽⁠≦,5,Positif
BAGUSSSS MEMBANTU KEREN,5,Positif
Mohon diperbarui ya saya memakai aplikasi ini eh tiba tiba keluar,1,Negatif
bagus sih tapi kalo mau masuk ke aplikasinya pasti harus uninstal dulu padahal koneksi aku bagus lancar jadi waktu less ke ruang guru waktu disuruh buka aplikasinya harus uninstal dulu,5,Positif
BAGUS BNGET,5,Positif
seruuu trs gampang di pahami juga makasi ruang guruu aku jadi bisa nii belajar biar ranking 1 di sekolahh,5,Positif
kurang memuaskan,1,Negatif
𝐚𝐩𝐤 𝐢𝐧𝐢 𝐬𝐚𝐧𝐠𝐚𝐭 𝐛𝐚𝐠𝐮𝐬𝐞,5,Positif
mantab,5,Positif
gampang di pahami,5,Positif
bagus banget aku bisa belajar di sini 🤩🤩,5,Positif
bismillahirrahmanirrahim dg ini gw bisa pinter,5,Positif
👍,5,Positif
bagussss untuk belajar semua,5,Positif
bagus tapi berbayar,4,Positif
"Suka banget, penjelasan mudah dimengerti dan ada quiz setelah menonton video. Ada juga latihan soal harian disemua mapel bahkan TKA. I love you ruang guru🫶🏻🫶🏻",5,Positif
"Ini kurang bagus, karena saya pernah mendownload apk ini, tetapi hanya beberapa yang bisa dipakai, tetapi saya uninstall lalu install lagi karna HP saya ngelag, saya ingin daftar tetapi harus no telp, gimana saya daftar, orang saya tidak ada whatsapp, (jadi itu saja pendapat saya, jika ada yang tersinggung dengan penjelasan saya, saya minta maaf sebesar besar nya.)",1,Negatif
"Baik, Master Teachernya juga ramah-ramah.",5,Positif
bantu bgt ningkatin nilai ujian aku bahkan samapai orang² ngira aku nyontek soalnya nilai ph aku jauhh naik drastis,5,Positif
"ada beberapa vidio pembelajaran yang membingungkan atau keliru, tapi gak yang parah, overall bagus",4,Positif
"Sangat membantu untuk mengerjakan tugas sekolah dan memahami materi sekolah lebih dalam, konsep materi juga dijelaskan jadi untuk saya yang lama ngertinya bisa langsung paham. Kekurangannya masih suka banyak error saat live teaching",5,Positif
"Meskipun gak berlangganan, fitur nya sudah cukup memuaskan 🙏🙏",5,Positif
sangat membantu🤩🤍,5,Positif
menarik,5,Positif
aplikasi ini sangat penting dalam kehidupan sehari-hari saya dan sangat berguna sekali,5,Positif
nice,5,Positif
bagus CMN suka tiba tiba gini ruang guru tidak menanggapi gitu jdi suka MLs,4,Positif
"ruang guru itu bagus banget ngebantu banget aku pake ruang guru dari semenjak kelas 1 -3 SMA wkwkwk sudah berlangganan di ruang guru seharusnya mah aku berlangganan dari kecil (TK-SMA), seharusnya sih begitu sekarang aku nyesel banget baru daftar pas SMA, sekarang kuliah masih pake pokok ruang gurunya mantul banget ya seharusnya juga aku pake pas awal² pas masih semester pertama his nyesel²di akhir itu ternyata ga enak ya wkwkwk kaya aku gini ya wkwkwk.",5,Positif
bagus sekali,5,Positif
WOW..!!! ada aplikasi ruang guru ada mata pelajar juga dan tka nya,5,Positif
aplikasi ya bagus banget kurang ya gak bisa di buat main,5,Positif
perfect,5,Positif
aplikasi nya jelek keluar sendiri pas mau milih kelas tolong ini kenapa padahal aku ingin mencoba nya jadi tolong sekali lagi dibenerin 😭😭,1,Negatif
"aplikasi ini sangat bagus sampe ngelekk padahal jaringan lancar, sampe kaka nya yg ngajar pun bingung kenapa suka kaya begitu terus suka eror",1,Negatif
aplikasi ini sangat bagus banget kak tap tolong tambahin fitur tema gelap kak supaya lebih nyaman gitu,5,Positif
bgus,5,Positif
"saya harap ada update untuk penambahan fitur subtitle, juga update konten untuk pembelajaran baru, dan lebih berharap bakal ada bidang spesifik kaya kuliah per jurusan mau di video belajar ataupun brain academy , atau bahkan ada mentor yang mendalamin per jurusan, sumpah si ke gitu.",5,Positif
gamenya bagus untuk belajar 😍,5,Positif
"bagus tapi masih ada bugnya terutama di web untuk pc contohnya, saat saya sudah selesai mengerjakan salah satu subtes UTBK lalu tekan kembali, semua jawaban saya hilang dan nilai saya jadi 0, tolong cepat diperbaiki min karena 30 hari lagi saya utbk😓",3,Netral
"aplikasi nya sangat berguna sekali untuk pelajar, dulu aku susah banget mau juara tapi sekarang Alhamdulillah udah bisa juara umum cerdas cermat berkat aplikasi ruangguru",5,Positif
ini sangat bagus,5,Positif
bagus banget buat belanja di rumah cocok buat les sekola ❤️,5,Positif
KERENNNNNN MANTAPPPPPP AKU JADI PAHAM SEMUA MATERI,5,Positif
bagus buat belajar,5,Positif
Bagus sekali,3,Netral
sebenrnya bagus cuma ada bug saya sudah belajar sangat lama tapi masi saja pet nya tidak naik naik,4,Positif
bagus aja,5,Positif
"sangat bagus dan saya juga bisa belajar, saat saya instal dan masuk sudah sangat bagus dan bisa belajar offline,",5,Positif
bagus utk kecerdasan anak,5,Positif
mantap banget,5,Positif
apik poll pokoke,5,Positif
Bagus belajar jadi lebih lancar & bisa cepat cerdas & pintar,5,Positif
👍🏻,5,Positif
keren aplikasi ruang guru ini sangat membantu saya untuk mengerjakan soal-soal utbk snbt terimakasih ruang guru,5,Positif
saya harap bisa juara hehhe,5,Positif
"kadang tb"" ke logout sendiri",4,Positif
memang melatih otak ruangguru is the beast,5,Positif
Seangat bagus,5,Positif
sangat membantu,5,Positif
"plis kecewa banget sama ni aplikasi tlg dong jangan tlp² atau ngechat segala ke no wa gw apalagi ke keluarga gw, gasuka sm aplikasinya gw g suka make mlh diteror disuruh byr plis g ush tlp apalgi ngechat di wa lagi",1,Negatif
"Aplikasi Ruangguru sering lemot dan sering buffering serta sempat ada bug walaupun jaringan internetnya lancar dan memori aman, jadi cukup bikin belajar jadi kurang nyaman. Mohon segera diperbaiki.",3,Netral
jadi langganan olimpiade deh😋😋,5,Positif
aku baru inggin mencoba semoga dengan ini saya jadi lebih paham dengan biologi dan menjadi lebih semangat untuk belajar,5,Positif
bagus banget nilaiku semangkin bertambah,5,Positif
Sangat bagus untuk dibelajar sendiri di rumah,5,Positif
"bagus pokoknya, bisa belajar sekaligus ngerjain kuis",5,Positif
sangat berguna,5,Positif
"ga bisa di buka, pdhl kuota ada, jaringan baik",1,Negatif
karena sering waktu belajar sering keluar sendiri jadi mengganggu banget untuk belajar nggak recommended,1,Negatif
bagus banget tapi ada yang berbayar,5,Positif
"sayaa ga langganan cuma instal karna kepo ajaa udah di hps jugaa masih ajaa di cht"" in udah saya blok malah telepon di no biasa ganggu ajaa selalu si cht si telepon gimanaa sih ini jelek bgtt",1,Negatif
sangat membantu. terimakasih,5,Positif
asik - pembaruan terus,4,Positif
"sya mau memberi masukan untuk ruang belajar pada video pembahasan matematikanya. kenpa ruang belajar sering sekali mengajarkan suatu rumus yg belibet2?? padahal ada rumus cepatnya tpi ruang belajar malah mengajari dengan rumus yg susah!!! contohnya pada sub bab perbandingan senilai, disitu ruangbelajar tidak langsung memberitahukan vara vepat dengan dikali silang!!!!! padahal itu cara yg umum dipakai dimana2!!! mohon kedepannya ruang belajar juga memberi trik/rumus cepat untuk menyelesaikan soal",5,Positif
setelah bermain kuis saya agak sedikit tau,5,Positif
SANGAT MEMBANTU PAS TKA JADI GA PUSINGG!!!,5,Positif
"Aplikasi tidak dapat diakses dan dibuka meski sudah diuninstal dan instal kembali. Aplikasi sangat ngelag. Kemudian, ketika saya menonton video pembelajaran ruang belajar di laptop(web), jika ada materi ekstra, tidak dapat diakses dan hanya menampilkan tampilan loading saja.",1,Negatif
aplikasinya sangat membantu untuk saya dan kakak saya tapi mungkin robo gurunya masih kurang jadi di tunggu perkembangan robo guru nyaa✨✨,5,Positif
okay,5,Positif
bintang lima kalau fitur try out sudah muncul. sepertinya ngebug kak. segera perbaiki,1,Negatif
aplikasi ruang guru nya bagus tapi gk ada belajar agama dan pancasila jadi gk tau gimana belajar itu agama dan pancasila mohon di tambahin iya agama dan pancasila nya tapi itu udh bagus kok tinggal di tambahin ada agama dan pancasila,4,Positif
bagus sekali ruangguru,5,Positif
bagus sih gaada iklan,5,Positif
aku suka ruangguru dan brain academyyyy 🩵🩵🩵🩵,5,Positif
"bagus, lumayan kaka-kakanya pada ganteng 🫴",5,Positif
ruang guru ini bermanfaat untuk aku biar bisa lancar TKA nya untuk kls 6 SD,5,Positif
Fiturnya makin canggih aja nih apl 🥰,5,Positif
aplikasinya berat dan tidak optimal. membuat hp menjadi panas beberapa waktu,1,Negatif
sangat membantu sekali,5,Positif
aplikasi nya bagus buat belajar,5,Positif
seru,5,Positif
"bagus bgt, saya mudah mengerti materi²nya ntops 🫰",4,Positif
tolong perbaiki masalah ketika daftar saya sudah memasuki no hp yang benar tapi tertulis no tidak valid,1,Negatif
mudah di mengerti trus video pembelajaran nya mudah di pahami 😁,5,Positif
bagus smoga nilai tka bgus dengan bljar dgn ruang guru amin,5,Positif
terimakasih bantuan ny kak,4,Positif
"Anak saya pakai aplikasi ini di hp'y dan hanya sebenatar dan sudah lama tdk pakai aplikasi'y lg , udh beberapa hr ini sy di tlfn dr orang yg mengaku dr aplikasi ruang guru , yg saya mau tanyakan benar atau tidak'y sampai di telfon",1,Negatif
ya bagus,5,Positif
wahhh baru pertama kali,5,Positif
Aplikasinya sering force close pas dibuka padahal sinyal bagus tolong dibales admin,2,Negatif
gara² ruangguru aku jadi pinter matematika internasional makasih yaa ruangguru sudah kasih pelajaran lebih ke aku🤭,5,Positif
gokil!,5,Positif
LANGSUNG JADI ELBERT ENSTEIN WOII,5,Positif
"min kenapa setiap nonton video ada tulisan ""video gagal dimuat,coba lagi"" udah ngelakuin ini itu tetap aja ga bisaa",1,Negatif
belajar di ruangguru sumpah seru banget,5,Positif
"gimana sih maintenance rg? nge lag banget app nya, mana udah langganan lumayan, tapi app nge lag mulu, padahal jaringan ga bermasalah. Bukan sekali dua kali aja, sering banget.",2,Negatif
bagus banget jirr,5,Positif
dapat banyak pengalaman,5,Positif
"sering bgt di telpon no asing, ngaku ngaku orang ruang guru. ga mau nulis no asli di profil, tp g bisa",1,Negatif
aplikasi sangat membantu 🙏,5,Positif
Sangat membantu belajar anak,5,Positif
makin pinter dah kalo download ini,5,Positif
"aku memang nggak mau les tapi aku cuma coba install, ternyata yang dulunya nggak bisa sekarang bisa cuyy. aku mau bilang terima kasih udah membuat apk ini untuk belajar. ✨",5,Positif
membantu proses belajar dan memiliki banyak metode belajar,5,Positif
💞,5,Positif
"aplikasi ini sebenarnya sangat bermanfaat untuk siswa siswa yang ingin lebih belajar dan belajar lebih ditambah lebih banyak variasi soal latihan untuk persiapan ujian sekolah dan utbk, namun tolong pisan kakak kurangi request update, karena aplikasinya sering minta update terus huhu :( arigatou terimakasih sayang 🩵",5,Positif
ini apk rusak apa gimana dah,1,Negatif
"vidio"" nya lengkap dan mudah dipahami",5,Positif
"mantap, saya sudah masuk institut teknologi itb bandung berkat bimbel bimbingan belajar di rg ruangguru",5,Positif
mudah di mengerti dan di pahami terimakasih aplikasi ruangguru telah mempermudah pelajaran saya,5,Positif
"ruangguru membantu bangett aku jadi bisa dapet nilai baguss, nilai ku rata rata naikk coba aja dari dulu belajar di ruangguru",5,Positif
"aplikasinya Sangat berguna disaat keadaan genting contoh saya yang diblacklist oleh pihak perpustakaan dan. saya tidak dipinjami buku. aplikasi ini paling wort it kalau kalian les di sana (ruang guru) soalnya bisa buka semua fitur yang ada tapi, kadang kadang aplikasinya sering terjadi lag karena beberapa faktor jadi pada dasarnya aplikasi ini sangat bagus dan tolong untuk setiap bug yang ada tolong diperbaiki 👍",5,Positif
"kenapa gk bisa liat chat box padahal udah hapus cache, uninstall apl dan donlot lagii, refresh berkali kali, tanya kak sasa 6 kali tapi selalu gk bisa padahal udah aku udah coba semua cara tapi kenapa tetep gk bisa ya mungkin bug? tapi tetep gk di perbaikiin tolong ya diperbaiki biar aku bisa interaksi di chat box sama temen temen plis😭 sama polling terlalu cepet dan ngueelegg bgt",2,Negatif
"sangat bagus dan membantu, tapi sayangnya banyak yang berlangganan☹️",5,Positif
"Tiap buka aplikasi selalu update dan lemot juga kalo buka sesuatu, tolong di perbaiki",1,Negatif
